Date,SQ,REA.AX,WTC.AX,XRO.AX,CPU.AX,SEK.AX,CAR.AX,NXT.AX,PME.AX,ALU.AX
2020-01-30,76.0999984741211,111.28864288330078,24.919397354125977,85.58000183105469,16.762083053588867,22.00020217895508,16.18315887451172,7.590000152587891,23.752120971679688,38.58147430419922
2020-01-31,74.69000244140625,,,,,,,,,
2020-02-02,,109.5427474975586,24.780017852783203,85.80000305175781,16.72481346130371,21.16634750366211,16.032968521118164,7.510000228881836,24.79127693176269,37.98090362548828
2020-02-03,79.80000305175781,109.13309478759766,24.491294860839844,85.5,16.63163948059082,21.079082489013672,16.12683868408203,7.570000171661377,24.95952415466309,38.52335739135742
2020-02-04,80.9000015258789,109.73782348632812,26.69153213500977,86.66999816894531,16.808670043945312,21.20513153076172,16.18315887451172,7.75,25.52363586425781,39.72447967529297
2020-02-05,78.25,110.58638763427734,27.05989646911621,87.44000244140625,16.89252471923828,21.62206077575684,16.61496353149414,7.789999961853027,26.06795310974121,39.98601531982422
2020-02-06,78.51000213623047,114.0196533203125,27.826496124267575,86.75,16.47323989868164,21.631755828857425,16.624345779418945,7.710000038146973,25.94919204711914,40.28630447387695
2020-02-07,78.86000061035156,,,,,,,,,
2020-02-09,,111.7373046875,27.527816772460938,85.76000213623047,16.27757453918457,21.845067977905277,16.63373565673828,7.769999980926514,26.15702438354492,40.3541145324707
2020-02-10,80.16999816894531,110.21575164794922,28.224727630615234,87.5,16.352113723754883,22.34925842285156,16.539865493774414,7.840000152587891,26.79041290283203,40.34442138671875
2020-02-11,79.87999725341797,110.24501037597656,28.18490219116211,87.4000015258789,16.258939743041992,22.64983367919922,17.919750213623047,7.860000133514404,27.018037796020508,39.918212890625
2020-02-12,80.0,112.13720703125,28.941547393798828,87.47000122070312,16.342796325683594,22.698314666748047,17.825881958007812,7.849999904632568,26.147127151489254,40.55752182006836
2020-02-13,80.98999786376953,110.92776489257812,28.921630859375,87.05999755859375,16.240306854248047,22.921321868896484,17.70384979248047,7.880000114440918,24.771484375,40.509090423583984
2020-02-14,81.86000061035156,,,,,,,,,
2020-02-16,,110.30352020263672,29.12074851989746,88.5,16.342796325683594,22.882537841796875,17.49733543395996,7.949999809265137,23.168216705322266,41.293704986572266
2020-02-17,,109.61101531982422,29.30990982055664,88.93000030517578,16.425628662109375,22.42682456970215,17.318986892700195,7.840000152587891,22.15875244140625,38.029335021972656
2020-02-18,82.41999816894531,112.0494155883789,21.30543708801269,89.0,16.236831665039062,22.36864852905273,17.600595474243164,7.840000152587891,22.752552032470703,36.13077545166016
2020-02-19,85.23999786376953,111.15209197998048,18.796571731567383,87.4800033569336,16.425628662109375,22.455915451049805,17.337759017944336,7.900000095367432,22.148853302001957,34.75529098510742
2020-02-20,85.69999694824219,111.20085906982422,19.194805145263672,87.30000305175781,16.20850944519043,22.29108238220215,17.178180694580078,7.840000152587891,22.70307159423828,33.33137130737305
2020-02-21,83.48999786376953,,,,,,,,,
2020-02-23,,106.70445251464844,18.746795654296875,83.5,15.783706665039062,21.72871398925781,16.802698135375977,7.630000114440918,21.78267478942871,31.839645385742188
2020-02-24,80.20999908447266,104.35382080078124,19.075334548950195,82.66000366210938,15.585469245910645,22.116552352905277,16.333351135253906,7.670000076293945,21.703502655029297,31.52967071533203
2020-02-25,77.05000305175781,102.43236541748048,17.492359161376953,79.94999694824219,15.179547309875488,21.195436477661133,15.704423904418944,7.489999771118164,20.63465690612793,30.841930389404297
2020-02-26,76.58999633789062,100.45238494873048,16.855188369750977,78.0,15.160667419433594,20.943340301513672,15.64810276031494,7.420000076293945,20.55548477172852,30.16387176513672
2020-02-27,79.30999755859375,95.89745330810548,15.033276557922363,73.6500015258789,14.462106704711914,20.05130958557129,15.206913948059082,7.889999866485596,19.9517822265625,30.027381896972656
2020-02-28,83.33000183105469,,,,,,,,,
2020-03-01,,94.56119537353516,16.94478988647461,74.58999633789062,14.480986595153809,20.216142654418945,15.169365882873535,7.599999904632568,20.45651626586914,31.197280883789062
2020-03-02,80.66999816894531,96.12178802490234,16.496780395507812,79.94000244140625,14.178906440734863,21.011213302612305,15.432202339172363,8.0600004196167,20.506000518798828,31.20702743530273
2020-03-03,78.83999633789062,95.25372314453124,15.630624771118164,77.13999938964844,12.99890422821045,20.487628936767575,15.141204833984377,8.270000457763672,19.60540008544922,29.74465751647949
2020-03-04,79.26000213623047,98.31634521484376,15.411596298217772,79.54000091552734,13.017784118652344,20.865772247314453,15.544844627380373,8.649999618530273,19.178546905517575,30.076128005981445
2020-03-05,76.31999969482422,94.60021209716795,14.980036735534668,75.16999816894531,12.328661918640137,19.692556381225582,15.075494766235352,8.489999771118164,18.672277450561523,28.94522857666016
2020-03-06,73.08999633789062,,,,,,,,,
2020-03-08,,89.86236572265625,13.435188293457031,71.4000015258789,10.7710599899292,18.31572723388672,13.855188369750977,8.039999961853027,17.629968643188477,27.14163589477539
2020-03-09,65.7300033569336,95.5909423828125,14.202629089355469,75.86000061035156,11.158100128173828,18.422382354736328,14.484115600585938,8.40999984741211,17.878135681152344,27.84357261657715
